registrant_name,times_lobbied,avg_amount,total_amout,start_year,end_year,unique_years,policy_issue
"BUILDING AND CONSTRUCTION TRADES DEPT., AFL-CIO",4,202500,810000,2011,2019,3,wind_power
BUSINESS COUNCIL FOR SUSTAINABLE ENERGY,6,36122.48166666667,216734.89,2019,2020,2,wind_power
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,1,0,0,2012,2012,1,wind_power
CALPINE CORPORATION,16,1017500,16280000,2019,2020,2,wind_power
"CAPITOL CITY GROUP, LTD.",40,0,0,2010,2021,9,wind_power
CAPITOL COUNSEL LLC,15,0,0,2010,2014,5,wind_power
"CAPITOL TAX PARTNERS, LLP",61,0,0,2010,2014,5,wind_power
"CAPITOLINE CONSULTING, LLC",4,0,0,2012,2012,1,wind_power
CASE WESTERN RESERVE UNIVERSITY,1,150000,150000,2008,2008,1,wind_power
"CASSIDY & ASSOCIATES, INC.",17,0,0,2012,2021,4,wind_power
CDB PROJX LLC,1,0,0,2021,2021,1,wind_power
CENTER FOR INDIVIDUAL FREEDOM,3,9000,27000,2015,2020,2,wind_power
CENTERPOINT ENERGY,6,15000,90000,2011,2012,2,wind_power
"CERES, INC.",2,10000,20000,2012,2013,2,wind_power
"CGCN GROUP, LLC (FORMERLY KNOWN AS CLARK GEDULDIG CRANFORD & NIELSEN, LLC)",5,0,0,2019,2020,2,wind_power
CHAMBER OF COMMERCE OF THE U.S.A.,17,16041764.705882354,272710000,2011,2021,5,wind_power
"CHAMBERS, CONLON & HARTWELL, LLC",7,0,0,2010,2012,3,wind_power
"CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS, INC.",7,408571.4285714286,2860000,2019,2021,3,wind_power
"CLARK HILL, PLC",4,0,0,2010,2021,2,wind_power
CLEMSON UNIVERSITY,1,65976.32,65976.32,2011,2011,1,wind_power
CMS ENERGY CORP,11,330000,3630000,2011,2016,3,wind_power
CONOCOPHILLIPS,2,1062368,2124736,2012,2021,2,wind_power
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",2,0,0,2015,2021,2,wind_power
CSX CORPORATION,3,1273189.3333333333,3819568,2012,2012,1,wind_power
"CYPRESS ADVOCACY, LLC",8,0,0,2019,2021,3,wind_power
"DAVID GARDINER & ASSOCIATES, LLC",3,0,0,2012,2012,1,wind_power
DAVIS & HARMAN LLP,29,0,0,2010,2017,8,wind_power
DEERE & COMPANY,1,460000,460000,2010,2010,1,wind_power
DEFENDERS OF WILDLIFE,2,111813.5,223627,2011,2011,1,wind_power
DENTONS US LLP,7,0,0,2011,2012,2,wind_power
DICKSTEIN SHAPIRO LLP,5,0,0,2012,2012,1,wind_power
DLA PIPER LLP (US),17,0,0,2010,2014,5,wind_power
DNV GL USA INC.,3,40000,120000,2019,2020,2,wind_power
"DOMER CONSULTING, LLC",1,0,0,2019,2019,1,wind_power
"DOMINION ENERGY, INC.",30,521333.3333333333,15640000,2011,2021,8,wind_power
DOW LOHNES GOVERNMENT STRATEGIES LLC,15,0,0,2010,2013,4,wind_power
DOWNS GOVERNMENT AFFAIRS,3,0,0,2021,2021,1,wind_power
"DUETTO GROUP, LLC",1,0,0,2010,2010,1,wind_power
DUKE ENERGY CORPORATION,12,1523333.3333333333,18280000,2011,2020,4,wind_power
DYKEMA GOSSETT PLLC,6,0,0,2010,2012,3,wind_power
EARTHJUSTICE,2,158714.16999999998,317428.33999999997,2021,2021,1,wind_power
EDISON ELECTRIC INSTITUTE,9,2821198.888888889,25390790,2011,2016,3,wind_power
EDISON INTERNATIONAL,1,470000,470000,2010,2010,1,wind_power
"ELEVATE GOVERNMENT AFFAIRS, LLC",1,0,0,2020,2020,1,wind_power
"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",8,29125,233000,2017,2020,3,wind_power
"ENGIE NORTH AMERICA, INC.",1,10000,10000,2020,2020,1,wind_power
"ENVIRONMENT AMERICA, INC.",15,278459.58733333333,4176893.81,2011,2015,5,wind_power
ENVIRONMENTAL LAW AND POLICY CENTER,2,0,0,2012,2012,1,wind_power
EQUINOR US OPERATIONS LLC,36,169722.22222222222,6110000,2010,2021,10,wind_power
EQUIPMENT LEASING AND FINANCE ASSOCIATION,5,124000,620000,2015,2018,4,wind_power
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),3,0,0,2016,2021,2,wind_power
EVERSOURCE ENERGY SERVICE COMPANY,7,141428.57142857142,990000,2019,2021,3,wind_power
"EXELON BUSINESS SERVICES, LLC",5,1412000,7060000,2015,2016,2,wind_power
EXXON MOBIL CORP,9,3154444.4444444445,28390000,2012,2016,3,wind_power
FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA,3,20000,60000,2014,2014,1,wind_power
FEDERAL SCIENCE PARTNERS LLC,35,0,0,2014,2020,7,wind_power
FIERCE GOVERNMENT RELATIONS,2,0,0,2018,2018,1,wind_power
"FIERCE, ISAKOWITZ & BLALOCK",1,0,0,2012,2012,1,wind_power
"FRAMATOME, INC. (FORMELY KNOWN AS AREVA, INC.)",1,200000,200000,2010,2010,1,wind_power
FRIENDS COMMITTEE ON NATIONAL LEGISLATION,2,1000000,2000000,2017,2018,2,wind_power
FTI GOVERNMENT AFFAIRS,6,0,0,2021,2021,1,wind_power
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),46,3459565.217391304,159140000,2010,2021,10,wind_power
GEORG I. ABAKUMOV,1,0,0,2011,2011,1,wind_power
"GIBSON, DUNN & CRUTCHER LLP",8,0,0,2018,2020,3,wind_power
"GOVBIZ ADVANTAGE, INC.",3,0,0,2021,2021,1,wind_power
"GRANITE PEAK STRATEGIES, LLC",7,0,0,2019,2020,2,wind_power
GREEN CAPITOL LLC,50,0,0,2011,2021,11,wind_power
"GREENBERG TRAURIG, LLP",12,0,0,2019,2021,3,wind_power
GREYSTONE GROUP LLC,3,0,0,2011,2011,1,wind_power
"GRISSO CONSULTING GROUP, LLC",10,0,0,2010,2012,3,wind_power
"HANNEGAN LANDAU POERSCH & ROSENBAUM ADVOCACY, LLC",7,0,0,2015,2017,2,wind_power
HARLOW GOVERNMENT RELATIONS LLC,1,0,0,2012,2012,1,wind_power
HBW RESOURCES,9,0,0,2014,2020,3,wind_power
"HECHT LATHAM SPENCER & ASSOCIATES, INC., FORMERLY KNOWN AS HECHT SPENCER & ASSOC",4,0,0,2021,2021,1,wind_power
HERITAGE ACTION FOR AMERICA,1,40000,40000,2012,2012,1,wind_power
HIGH STREET STRATEGIES LLC,35,0,0,2015,2021,7,wind_power
"HITACHI ENERGY USA INC. F/K/A/ ABB ENTERPRISE SOFTWARE, INC.",6,50000,300000,2020,2021,2,wind_power
"HITACHI, LTD",1,30000,30000,2021,2021,1,wind_power
HOLCIM PARTICIPATIONS (US) INC.,23,140869.5652173913,3240000,2017,2021,5,wind_power
HOLLAND & HART LLP,6,0,0,2017,2018,2,wind_power
HOLLAND & KNIGHT LLP,3,0,0,2021,2021,1,wind_power
HONEYWELL INTERNATIONAL,47,1453829.7872340425,68330000,2010,2021,12,wind_power
"HUSCH BLACKWELL, LLP",12,0,0,2015,2018,4,wind_power
ILLINOIS AGRICULTURAL ASSOCIATION,4,75000,300000,2011,2014,4,wind_power
"INDIANA FARM BUREAU, INC",4,42000,168000,2014,2016,2,wind_power
"INT'L. ASSOCIATION OF BRIDGE, STRUCTURAL, ORNAMENTAL & REINFORCING IRON WORKERS",6,100000,600000,2019,2021,3,wind_power
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,11,163837.18181818182,1802209,2010,2017,5,wind_power
INTERNATIONAL UNION OF OPERATING ENGINEERS,10,138000,1380000,2012,2021,4,wind_power
INVARIANT LLC,4,0,0,2012,2012,1,wind_power
INVENERGY LLC,4,337500,1350000,2021,2021,1,wind_power
IOWA STATE UNIVERSITY,11,29090.909090909092,320000,2019,2021,3,wind_power
"JACK FERGUSON ASSOC., INC.",3,0,0,2020,2020,1,wind_power
"JIM MASSIE & PARTNERS, LLC",31,0,0,2017,2021,5,wind_power
JST STRATEGIES LLC (JOCHUM SHORE & TROSSEVIN PC),1,0,0,2018,2018,1,wind_power
"K&L GATES, LLP",4,0,0,2010,2020,2,wind_power
"KADESH & ASSOCIATES, LLC",3,0,0,2011,2011,1,wind_power
"KANNER & ASSOCIATES, LLC",12,0,0,2012,2012,1,wind_power
"KEARNEY, DONOVAN & MCGEE",27,0,0,2010,2021,8,wind_power
KELLEN COMPANY,1,0,0,2013,2013,1,wind_power
KELLER MCINTYRE & ASSOCIATES,1,0,0,2013,2013,1,wind_power
KELLEY DRYE & WARREN LLP,11,0,0,2016,2018,3,wind_power
KIT BOND STRATEGIES,9,0,0,2019,2021,3,wind_power
KLEIN/JOHNSON GROUP,2,0,0,2021,2021,1,wind_power
"KOGOVSEK & ASSOCIATES, INC.",12,0,0,2012,2014,3,wind_power
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA,5,356000,1780000,2013,2014,2,wind_power
LEAGUE OF CONSERVATION VOTERS,12,34583.333333333336,415000,2012,2014,3,wind_power
"LEIDOS, INC.",2,460000,920000,2012,2012,1,wind_power
"LEMUNYON GROUP, LLC",3,0,0,2021,2021,1,wind_power
"LEWIS-BURKE ASSOCIATES, LLC",41,0,0,2011,2021,7,wind_power
LOT SIXTEEN LLC,22,0,0,2018,2021,4,wind_power
"LTD GROUP, LLC",3,0,0,2012,2012,1,wind_power
MARATHON OIL CORPORATION,1,880000,880000,2011,2011,1,wind_power
"MARCUS G. FAUST, PC",3,0,0,2012,2012,1,wind_power
MARGARET MATHNA,2,0,0,2011,2011,1,wind_power
MARKLEY AND COMPANY,16,0,0,2011,2014,4,wind_power
"MCCLEES CONSULTING, INC.",3,0,0,2013,2013,1,wind_power
"MEGGITT-USA, INC.",3,200000,600000,2016,2016,1,wind_power
MEGUIRE WHITNEY,2,0,0,2019,2019,1,wind_power
MICHAEL TOOHEY AND ASSOCIATES,1,0,0,2010,2010,1,wind_power
MIKE WILLIAMS CAPITOL STRATEGIES LLC (F/K/A MW CAPITOL STRATEGIES LLC),12,0,0,2017,2020,4,wind_power
MITCH BUTLER,3,0,0,2010,2011,2,wind_power
"MITSUBISHI HEAVY INDUSTRIES AMERICA, INC.",1,0,0,2016,2016,1,wind_power
"ML STRATEGIES, LLC",21,0,0,2010,2014,5,wind_power
"MOFFETT GROUP, LLC",2,0,0,2011,2011,1,wind_power
MONUMENT ADVOCACY,1,0,0,2016,2016,1,wind_power
"MORGAN MEGUIRE, LLC",10,0,0,2011,2012,2,wind_power
MORTGAGE BANKERS ASSOCIATION,2,591353.5,1182707,2021,2021,1,wind_power
MR. GARY BARBOUR,1,0,0,2011,2011,1,wind_power
MR. HUGH MCGILLICUDDY,3,0,0,2012,2015,3,wind_power
MR. JAIME STEVE,2,0,0,2009,2013,2,wind_power
MR. LORENZ HART,1,0,0,2012,2012,1,wind_power
MR. WILLIAM BALL,2,0,0,2012,2012,1,wind_power
MR. WILLIAM GOLDSMITH,1,0,0,2021,2021,1,wind_power
MS. BARBARA ROHDE,4,0,0,2010,2012,3,wind_power
MS. VIRGINIA MAYER,4,0,0,2013,2014,2,wind_power
NATIONAL ASSOCIATION OF MANUFACTURERS,2,2520000,5040000,2012,2012,1,wind_power
NATIONAL GRID USA,48,541875,26010000,2010,2021,12,wind_power
NATIONAL OCEAN INDUSTRIES ASSOCIATION,22,45454.545454545456,1000000,2017,2021,5,wind_power
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),3,573333.3333333334,1720000,2015,2020,3,wind_power
NATIONAL SMALL BUSINESS ASSOCIATION,6,48666.666666666664,292000,2013,2014,2,wind_power
NATIONAL TAXPAYERS UNION,2,37106.91,74213.82,2012,2015,2,wind_power
NATIONAL WILDLIFE FEDERATION,12,121916.66666666667,1463000,2011,2016,5,wind_power
NATURAL RESOURCES DEFENSE COUNCIL,2,62002,124004,2012,2012,1,wind_power
NELSON MULLINS RILEY & SCARBOROUGH,5,0,0,2019,2020,2,wind_power
"NEXTERA ENERGY, INC.",3,860000,2580000,2010,2012,2,wind_power
NORTH CAROLINA STATE UNIVERSITY,3,40000,120000,2011,2011,1,wind_power
"NUCOR CORPORATION (FORMERLY NUCOR PUBLIC AFFAIRS, INC.)",3,573333.3333333334,1720000,2021,2021,1,wind_power
OCEAN CONSERVANCY,13,194282.38461538462,2525671,2018,2021,4,wind_power
"OCEANA, INC.",13,64091.78538461539,833193.21,2011,2021,4,wind_power
OFFSHORE MARINE SERVICE ASSOCIATION,1,70000,70000,2011,2011,1,wind_power
OGILVY GOVERNMENT RELATIONS,26,0,0,2010,2015,6,wind_power
OHIO FARM BUREAU FEDERATION,1,108000,108000,2011,2011,1,wind_power
OHIO MUNICIPAL ELECTRIC ASSOCIATION,3,75000,225000,2012,2012,1,wind_power
"OLDAKER & WILLISON, LLP",4,0,0,2011,2012,2,wind_power
"OLDAKER GROUP, LLC",15,0,0,2010,2014,5,wind_power
OMAHA PUBLIC POWER DISTRICT,2,43177.5,86355,2015,2015,1,wind_power
OREGON FARM BUREAU FEDERATION,5,15547,77735,2014,2021,5,wind_power
"ORSTED NORTH AMERICA, INC.",14,87142.85714285714,1220000,2017,2021,5,wind_power
OWEN EVANS INGOLS,1,0,0,2021,2021,1,wind_power
PANASONIC CORPORATION OF NORTH AMERICA (PNA),7,94285.71428571429,660000,2013,2015,3,wind_power
"PEPCO HOLDINGS, INC.",3,310000,930000,2012,2016,2,wind_power
PERKINS COIE LLP,1,0,0,2011,2011,1,wind_power
PILLSBURY WINTHROP SHAW PITTMAN LLP,20,0,0,2017,2021,5,wind_power
"PODESTA GROUP, INC.",3,0,0,2014,2015,2,wind_power
POLSINELLI PC,5,0,0,2013,2013,1,wind_power
PORTLAND GENERAL ELECTRIC,9,98333.33333333333,885000,2011,2016,5,wind_power
"PPG INDUSTRIES, INC",7,219037.10571428572,1533259.74,2011,2012,2,wind_power
PRIME POLICY GROUP,1,0,0,2021,2021,1,wind_power
PUBLIC SERVICE ENTERPRISE GROUP,19,457368.4210526316,8690000,2010,2021,7,wind_power
"PUBLIC STRATEGIES WASHINGTON, INC.",13,0,0,2011,2014,4,wind_power
PUGET SOUND ENERGY,12,235833.33333333334,2830000,2010,2021,4,wind_power
QGA PUBLIC AFFAIRS (FORMERLY QUINN GILLESPIE & ASSOCIATES),2,0,0,2012,2012,1,wind_power
"REM STRATEGIES, LLC",2,0,0,2018,2019,2,wind_power
"ROBERTSON, MONAGLE, AND EASTAUGH",32,0,0,2018,2021,4,wind_power
RYAN COSTELLO STRATEGIES,4,0,0,2020,2020,1,wind_power
"SALTCHUK RESOURCES, INC.",10,105000,1050000,2020,2021,2,wind_power
"SBL STRATEGIES, LLC",1,0,0,2013,2013,1,wind_power
SC PARTNERS LLC,87,0,0,2011,2021,11,wind_power
SEAFARERS INTERNATIONAL UNION OF N.A. - AGLIW,2,35000,70000,2020,2020,1,wind_power
SELLERY ASSOCIATES,7,0,0,2013,2014,2,wind_power
SEMPRA ENERGY,7,392857.14285714284,2750000,2011,2012,2,wind_power
"SHELL USA, INC. (FKA SHELL OIL COMPANY)",21,1950476.1904761905,40960000,2013,2021,6,wind_power
SIEMENS CORPORATION,27,961900.074074074,25971302,2015,2021,7,wind_power
SIERRA CLUB,18,104444.44444444444,1880000,2011,2020,6,wind_power
"SIGNAL GROUP CONSULTING, LLC",20,0,0,2012,2016,4,wind_power
SMITH & BROWN-YAZZIE LLP,2,0,0,2010,2011,2,wind_power
SOLAR ENERGY INDUSTRIES ASSOCIATION,1,190000,190000,2013,2013,1,wind_power
SOLARCITY,8,106250,850000,2013,2014,2,wind_power
SOUTHERN ENVIRONMENTAL LAW CENTER,13,8759.655384615386,113875.52,2012,2014,3,wind_power
SPRINT CORPORATION,4,621317.25,2485269,2012,2013,2,wind_power
SQUIRE PATTON BOGGS,17,0,0,2010,2015,5,wind_power
SQUIRE PATTON BOGGS (US) LLP (F.K.A. SQUIRE SANDERS (US) LLP),1,0,0,2011,2011,1,wind_power
STEPTOE & JOHNSON LLP,13,0,0,2019,2021,3,wind_power
"STONY BROOK UNIVERSITY, SUNY STONY BROOK",2,26000,52000,2021,2021,1,wind_power
STRATEGIC FEDERAL AFFAIRS,1,0,0,2012,2012,1,wind_power
STRATEGIC MARKETING INNOVATIONS,87,0,0,2010,2021,12,wind_power
"STUNTZ DAVIS & STAFFIER, P.C.",5,0,0,2011,2012,2,wind_power
"TCH GROUP, LLC",12,0,0,2019,2021,3,wind_power
THE BLACKOAK GROUP FORMERLY KNOW AS JOHN COLLISON,14,0,0,2018,2020,3,wind_power
"THE FERGUSON GROUP, LLC",7,0,0,2012,2013,2,wind_power
THE INGRAM GROUP LLC,2,0,0,2015,2015,1,wind_power
"THE LIVINGSTON GROUP, LLC",1,0,0,2010,2010,1,wind_power
THE NATIONAL RIGHT TO WORK COMMITTEE,8,181250,1450000,2019,2021,3,wind_power
THE NATURE CONSERVANCY,17,340588.23529411765,5790000,2010,2020,6,wind_power
THE NEW ENGLAND COUNCIL,1,10000,10000,2019,2019,1,wind_power
"THE NICKLES GROUP, LLC",1,0,0,2014,2014,1,wind_power
"THE NORMANDY GROUP, LLC",2,0,0,2011,2011,1,wind_power
"THE SMITH-FREE GROUP, LLC",2,0,0,2011,2013,2,wind_power
THE TIMKEN COMPANY,14,42587.142857142855,596220,2014,2017,4,wind_power
THE UNIVERSITY OF NORTH CAROLINA SYSTEM,5,116811.684,584058.42,2010,2011,2,wind_power
THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),6,0,0,2010,2017,3,wind_power
THE WESSEL GROUP INCORPORATED,31,0,0,2010,2021,9,wind_power
THE WILDERNESS SOCIETY,13,85769.23076923077,1115000,2011,2016,5,wind_power
"TIM YEHL, LLC",1,0,0,2010,2010,1,wind_power
"TONIO BURGOS & ASSOCIATES, INC.",2,0,0,2010,2010,1,wind_power
"TRINITY INDUSTRIES, INC",11,22727.272727272728,250000,2010,2013,4,wind_power
U.S. PUBLIC INTEREST RESEARCH GROUP,2,10000,20000,2019,2020,2,wind_power
UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA,2,160000,320000,2012,2021,2,wind_power
"UNITED STEEL, PAPER & FORESTRY, RUBBER, MANUFACTURING, ENERGY",3,256666.66666666666,770000,2012,2021,3,wind_power
UNIVERSITY OF COLORADO,2,121565.5,243131,2018,2018,1,wind_power
UNIVERSITY OF CONNECTICUT,3,70000,210000,2021,2021,1,wind_power
UNIVERSITY OF HOUSTON SYSTEM,2,30000,60000,2011,2011,1,wind_power
UNIVERSITY OF NEW HAMPSHIRE,4,37500,150000,2017,2019,3,wind_power
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,10,88000,880000,2010,2012,3,wind_power
UTILITY WORKERS UNION OF AMERICA,8,33125,265000,2019,2020,2,wind_power
VAN SCOYOC ASSOCIATES,8,0,0,2010,2019,3,wind_power
"VESTAS-AMERICAN WIND TECHNOLOGY, INC.",23,71739.13043478261,1650000,2011,2021,8,wind_power
WASHINGTON ADVOCACY GROUP,2,0,0,2017,2017,1,wind_power
"WEST HARLEM ENVIRONMENTAL ACTION, INC.",2,0,0,2021,2021,1,wind_power
WESTERN ORGANIZATION OF RESOURCE COUNCILS,4,0,0,2012,2014,2,wind_power
WEYERHAEUSER COMPANY,1,410000,410000,2010,2010,1,wind_power
"WILLIAMS AND JENSEN, PLLC",26,0,0,2010,2014,5,wind_power
WILMER CUTLER PICKERING HALE AND DORR LLP,5,0,0,2017,2018,2,wind_power
WORLD SHIPPING COUNCIL,14,28214.285714285714,395000,2018,2021,4,wind_power
"WORLD WILDLIFE FUND, INC.",1,20000,20000,2012,2012,1,wind_power
"XCEL ENERGY, INC",18,403888.8888888889,7270000,2011,2020,6,wind_power
"38 NORTH SOLUTIONS, LLC",11,0,0,2012,2018,5,solar_power
3M COMPANY,23,1083034.2173913044,24909787,2012,2016,5,solar_power
ABENGOA SOLAR LLC,21,67142.85714285714,1410000,2012,2015,4,solar_power
"ADVANCED POLICY CONSULTING, LLC",1,0,0,2021,2021,1,solar_power
ALCALDE & FAY,8,0,0,2010,2012,3,solar_power
ALIGNMENT GOVERNMENT STRATEGIES,13,0,0,2014,2016,3,solar_power
"ALLETE, INC",20,52500,1050000,2014,2018,5,solar_power
ALLIANCE ONE,6,0,0,2019,2020,2,solar_power
"ALPINE GROUP PARTNERS, LLC.",31,0,0,2015,2021,5,solar_power
ALSTOM TRANSPORTATION INC.,1,410000,410000,2010,2010,1,solar_power
ALTERNATIVE FUELS & CHEMICALS COALITION,2,0,0,2020,2020,1,solar_power
AMEREN SERVICES,4,467500,1870000,2019,2021,2,solar_power
AMERESCO,17,101764.70588235294,1730000,2015,2021,6,solar_power
AMERICAN CHEMICAL SOCIETY (ACS),7,57142.857142857145,400000,2019,2020,2,solar_power
AMERICAN CLEAN POWER ASSOCIATION,4,344500,1378000,2021,2021,1,solar_power
"AMERICAN DEFENSE INTERNATIONAL, INC.",3,0,0,2011,2011,1,solar_power
"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",1,1910417,1910417,2014,2014,1,solar_power
AMERICAN FARM BUREAU FED,8,727962.5,5823700,2019,2021,3,solar_power
AMERICAN GAS ASSOCIATION,4,351500,1406000,2016,2016,1,solar_power
AMERICAN LAND TITLE ASSOCIATION,4,135000,540000,2016,2017,2,solar_power
AMERICAN PUBLIC POWER ASSOCIATION,11,208636.18181818182,2294998,2013,2021,4,solar_power
"APPLIED MATERIALS, INC",24,307083.3333333333,7370000,2010,2016,7,solar_power
ARENTFOX SCHIFF LLP,28,0,0,2014,2021,6,solar_power
ARIZONA STATE UNIVERSITY,3,30000,90000,2011,2011,1,solar_power
ARKEMA INC.,47,174901.87234042553,8220388,2011,2021,11,solar_power
"ARMITAGE CONSULTING, LLC",3,0,0,2017,2017,1,solar_power
"AVANGRID, INC.",8,134750,1078000,2011,2020,4,solar_power
BALLARD PARTNERS,10,0,0,2018,2021,4,solar_power
"BANNER PUBLIC AFFAIRS, LLC",6,0,0,2013,2013,1,solar_power
"BARNES & THORNBURG, LLP",2,0,0,2011,2011,1,solar_power
BATTELLE MEMORIAL INSTITUTE,5,238000,1190000,2019,2020,2,solar_power
BAYER CORPORATION (CONSOLIDATED REPORT),1,933370,933370,2010,2010,1,solar_power
"BECKER & POLIAKOFF, P.A.",7,0,0,2011,2019,4,solar_power
BERKSHIRE HATHAWAY ENERGY (FORMERLY MIDAMERICAN ENERGY HOLDINGS COMPANY),17,304705.8823529412,5180000,2014,2016,3,solar_power
BIPARTISAN POLICY CENTER ACTION,8,495000,3960000,2019,2020,2,solar_power
BLACK HILLS CORPORATION,5,18000,90000,2016,2021,2,solar_power
BLANK ROME GOVERNMENT RELATIONS,20,0,0,2014,2021,4,solar_power
BLUE GREEN ALLIANCE,3,50000,150000,2021,2021,1,solar_power
"BOCKORNY GROUP, INC.",1,0,0,2011,2011,1,solar_power
BOUNDARY STONE PARTNERS,7,0,0,2020,2021,2,solar_power
"BOYAGIAN CONSULTING, LLC",3,0,0,2018,2018,1,solar_power
BROOKFIELD POWER US ASSET MANAGEMENT LLC,2,0,0,2020,2020,1,solar_power
BROOKFIELD RENEWABLE ENERGY MARKETING US LLC,1,0,0,2019,2019,1,solar_power
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",10,0,0,2017,2021,3,solar_power
"BUILDING AND CONSTRUCTION TRADES DEPT., AFL-CIO",1,310000,310000,2016,2016,1,solar_power
